town_id,raw_id,sta,lat,lon
400,NS179,N/A,35.74388268,139.7551934
401,NS180,N/A,35.74623127,139.7478655
402,NS181,N/A,35.73227368,139.7224413
403,NS182,N/A,35.66446432,139.6282862
404,NS183,N/A,35.69996512,139.6571825
405,NS184,N/A,35.61412459,139.6125742
406,NS185,N/A,35.69864147,139.6970958
407,NS186,N/A,35.68254301,139.7088479
408,NS188,N/A,35.66336068,139.6582659
409,NS189,N/A,35.67746814,139.6980764
410,NS190,N/A,35.71951829,139.7661249
411,NS192,N/A,35.72201746,139.7269941
412,NS193,N/A,35.73078806,139.7567304
413,NS194,N/A,35.73443019,139.7059517
414,NS195,N/A,35.79151594,139.7560372
415,NS196,N/A,35.71563546,139.6990568
416,NS197,N/A,35.72405364,139.7821278
417,NS199,N/A,35.72800279,139.6835233
